CÓDIGO,CCO (GRADE 2013),SIN (GRADE 2017),SIN (GRADE 2022),ECO (GRADE 2022),ECO (GRADE 2015)
XDES01,COM110,COM110,XDES01,ECOP11A,ECOP01 + ECOP11
XDES02,COM220,COM220,XDES02,ECOP13A,ECOP03 + ECOP13
XDES03,COM222,COM222,XDES03,ECOX05,--
XDES04,COM210,COM210,XDES04,ECOT01A + ECOT11A,ECOT01 + ECOT11
CDES05,CIC131,--,--,--,--
XMAC01,"MAT015, MAT057","MAT017, MAT057",XMAC01,ECOM01A + ECOM11A,ECOM01 + ECOM11
XMAC02,MAT013,--,XMAC02,--,--
CMAC03,--,SIN110,SMAC03,--,--
CMAC04,CIC510,--,--,--,--
CMAC05,CIC250,--,--,--,MAT012
MAT00A,MAT001,--,MAT00A,MAT00A,--
MAT00B,MAT002,--,--,MAT00B,--
XRSC01,COM240,COM240,XRSC01,TELC03A + TELC13A,TELC03 + TELC13
CRSC02,COM120,COM120,--,ECOS01A + ECOS11A,ECOS01
CRSC03,CIC120,--,--,ELTD01A + ELTD11A,ELTD01 + ELTD11
CRSC04,CIC121,--,--,ECOX01,--
CRSC05,--,--,--,ECOP04 + ECOP14,ECOP04 + ECOP14
CTCO01,COM111,COM111,STCO01,ECOP02A,ECOP02 + ECOP12
CTCO02,COM112,COM112,STCO02,--,--
CTCO03,COM221,COM221,--,--,--
CTCO04,CIC110,--,--,--,--
CTCO05,CIC132,--,--,--,--
CTCO06,CIC220,--,--,--,--
XPAD01,COM230,COM230,XPAD01,ECOT03A + ECOT13A,ECOT03 + ECOT13
XMCO01,CIC260,SIN260,XMACO01,--,--
CMCO05,CIC271,--,--,--,ECOE19
XAHC01,COM312,COM312,XAHC01,--,--
XAHC02,COM213,COM213,XAHC02,--,--
XAHC03,COM310,COM310,XAHC03,--,--
CAHC04,--,--,--,--,--
SDES05,COM211,COM211,SDES05,--,--
SDES06,COM212,COM212,SDES06,--,--
SDES07,--,SIN412,SDES07,--,--
XDES08,--,--,XDES08,--,--
XDES10,--,--,XDES10,--,--
XDES11,--,--,XDES11,--,--
CDES13,COM937,COM937,--,--,--
ECOX21,--,--,--,--,ECOE44
ECOX22,--,--,--,,ECOE45
SPAD02,COM231,COM231,SPAD02,--,--
SPAD03,--,--,SPAD03,--,--
XPAD04,--,--,XPAD04,--,--
XPAD08,--,--,XPAD08,--,--
XPAD09,--,--,--,--,--
SADG01,--,SIN210,SADG01,--,--
SADG02,CIC310,CIC310,SADG02,--,--
ADM03E,SIN312,SIN312,ADM03E,--,--
IEPG01,--,--,IEPG01,--,--
IEPG10,COM311,COM311,IEPG10,--,EPR502
IEPG14,--,SIN411,IEPG14,--,--
IEPG20,--,--,ECN001,--,--
IEPG22,SIN310,SIN310,IEPG22,--,--
XRSC06,SIN414,SIN414,XRSC06,--,--
CRSC08,COM919,COM919,--,ECOX04,ECOE03
XRSC09,COM242,COM242,XRSC09,ECOS02A + ECOS12A,ECOS02 + ECOS12
XRSC07,COM241,COM241,XRSC07,--,--
ECOS04,--,--,--,--,--
XMCO02,--,--,XMCO02,--,--
XMCO03,COM936,COM936,XMCO03,--,--
XMCO04,--,--,XMCO04,--,--
CMCO06,--,--,--,--,--
CMCO07,--,--,--,--,--
XMCO08,--,--,XMCO08,--,--
XAHC06,--,--,XAHC06,--,--
XAHC07,--,--,XAHC07,--,--
XAHC08,--,--,XAHC08,--,--
IEPG21,--,--,IEPG21,--,--
ADM08H,--,--,ADM08H,--,--
LET007,--,--,LET007,--,--
ADM51H,--,--,ADM51H,--,--
ADM54H,--,--,ADM54H,--,--
XDES01,COM110,COM110,XDES01,ECOP11A,ECOP01 + ECOP11
XDES02,COM220,COM220,XDES02,ECOP13A,ECOP03 + ECOP13
XDES03,COM222,COM222,XDES03,ECOX05,--
XDES04,COM210,COM210,XDES04,ECOT01A + ECOT11A,ECOT01 + ECOT11
SDES05,COM211,COM211,--,--,--
SDES06,COM212,COM212,--,--,--
SDES07,SIN412,--,--,--,--
SADG01,SIN210,--,--,--,--
ADM03E,SIN312,--,--,--,--
ADM51E,--,--,--,--,--
IEPG01,--,--,--,--,--
IEPG04,--,--,--,--,--
IEPG10,COM311,COM311,--,--,--
IEPG14,SIN411,--,--,--,--
IEPG20,ECN001,--,--,--,--
IEPG22,SIN310,--,--,--,--
XMAC01,"MAT017, MAT057","MAT015, MAT057",XMAC01,ECOM01A + ECOM11A,ECOM01 + ECOM11
XMAC02,--,MAT013,XMAC02,,--
SMAC03,SIN110,--,CMAC03,--,--
MAT00A,MAT001,--,MAT00A,--,--
XRSC01,COM240,COM240,XRSC01,TELC03A + TELC13A,TELC03 + TELC13
SRSC02,COM120,COM120,--,ECOS01A + ECOS11A,ECOS01
SRSC03,SIN120,--,CRSC04,ECOX01,--
STCO01,COM111,COM111,CTCO01,ECOP02A,ECOP02 + ECOP12
STCO02,COM112,COM112,CTCO02,--,--
XPAD01,COM230,COM230,XPAD01,ECOT03A + ECOT13A,ECOT03 + ECOT13
SPAD02,COM231,COM231,--,--,--
SPAD03,--,--,--,--,--
XMCO01,SIN260,CIC260,XMCO01,--,--
XAHC01,COM312,COM312,XAHC01,--,--
XAHC02,COM213,COM213,XAHC02,--,--
XAHC03,COM310,COM310,XAHC03,--,--
SAHC04,--,--,--,--,--
SAHC05,SIN410,--,--,--,--
XDES08,--,--,XDES08,--,--
XDES10,--,--,XDES10,--,--
XDES11,--,--,XDES11,--,--
XPAD04,--,--,XPAD04,--,--
SPAD05,--,COM935,--,--,--
SPAD06,--,--,--,--,--
XPAD08,--,--,XPAD08,--,--
XPAD09,--,--,--,--,--
XMCO02,--,--,XMCO02,--,--
XMCO03,COM936,COM936,XMCO03,--,--
XMCO04,--,--,XMCO04,--,--
XMCO08,--,--,XMCO08,--,--
XRSC06,SIN414,SIN414,XRSC06,--,--
XRSC07,COM241,COM241,XRSC07,--,--
XRSC09,COM242,COM242,XRSC09,ECOS02A + ECOS12A,ECOS02 + ECOS12
ECOS04,--,--,--,--,--
XAHC06,--,--,XAHC06,--,--
XAHC07,--,--,XAHC07,--,--
XAHC08,--,--,XAHC08,--,--
IEPG21,--,--,IEPG21,--,--
LET007,--,--,LET007,--,--
ADM08H,--,--,ADM08H,--,--
ADM51H,--,--,ADM51H,--,--
ADM54H,--,--,ADM54H,--,--
SADG02,CIC310,CIC310,--,--,--
IEPG05,--,--,--,--,--
IEPG13,--,--,--,--,--
IEPG15,--,--,--,--,--
