Horário,Segunda-feira,Terça-feira,Quarta-feira,Quinta-feira,Sexta-feira
7:00,,,,,
7:55,MAT00B,,,,
8:50,MAT00B,,,,
10:10,,,MAT00B,,
11:05,,,MAT00B,,
13:30,,CRSC04,CTCO01,CRSC04,CTCO01
14:25,,CRSC04,CTCO01,CRSC04,CTCO01
15:45,,,CMAC04,CMAC04,
16:40,,,CMAC04,CMAC04,
17:35,,,,,
19:00,XDES04,IEPG04,XMAC01,STCO01,XDES02
19:50,XDES04,IEPG04,XMAC01,STCO01,XDES02
21:00,XMAC01,STCO01,XDES02,XDES04,
21:50,XMAC01,STCO01,XDES02,XDES04,
22:40,,,,,
7:55,,CRSC05,,,
8:50,,CRSC05,,,
10:10,,CRSC05,,CTCO04,
11:05,,CRSC05,,CTCO04,
13:30,XRSC01,XDES03,CMAC05,XRSC01,CDES05
14:25,XRSC01,XDES03,CMAC05,XRSC01,CDES05
15:45,CTCO04,CMAC05,CDES05,XDES03,
16:40,CTCO04,CMAC05,CDES05,XDES03,
17:35,,,,,
19:00,XPAD01,SMAC03,XMAC02,XPAD01,SRSC02
19:50,XPAD01,SMAC03,XMAC02,XPAD01,SRSC02
21:00,IEPG14,XMAC02,SRSC02,SMAC03,
21:50,IEPG14,XMAC02,SRSC02,SMAC03,
22:40,,,,,
10:10,,,,CTCO06,
11:05,,,,CTCO06,
13:30,XAHC02,XAHC02,,CDES13,
14:25,XAHC02,XAHC02,,CDES13,
15:45,CTCO06,IEPG21,,CIC270,
16:40,CTCO06,CDES13,,CIC270,
17:35,,CDES13,,CIC270,
19:00,XDES11,XMCO01,IEPG10,SDES06,XPAD04
19:50,XDES11,XMCO01,IEPG10,SDES06,XPAD04
21:00,SDES06,XMCO01,XPAD04,XDES11,
21:50,SDES06,XMCO01,XPAD04,XDES11,
22:40,,,,,
19:00,SDES07,,XAHC01,XAHC03,SDES07
19:50,SDES07,,XAHC01,XAHC03,SDES07
21:00,,ADM03E,XAHC01,XAHC03,
21:50,,ADM03E,XAHC01,XAHC03,
22:40,,ADM03E,,,
15:45,,,,CIC270,
16:40,,,,CIC270,
17:35,,,,CIC270,
19:00,,,,,
19:50,,,,,
21:00,COM221,,,,COM221
21:50,COM221,,,,COM221
22:40,,,,,
13:30,,,,CDES13,
14:25,,,,CDES13,
15:45,,CDES13,,,
16:40,,CDES13,,,
17:35,,,,,
19:00,XDES11,,,XRSC09,XPAD04
19:50,XDES11,,,XRSC09,XPAD04
21:00,,XRSC09,XPAD04,XDES11,
21:50,,XRSC09,XPAD04,XDES11,
22:40,,,,,
15:45,,IEPG21,,,
16:40,,IEPG21,,,
17:35,,IEPG21,,,
19:00,XMCO02,,,,
19:50,XMCO02,,,,
21:00,,,ADM54H,XMCO02,
21:50,,,ADM54H,XMCO02,
22:40,,,,,
7:00,,,,,
7:55,,PCO003,,,
8:50,,PCO003,,,
10:10,,PCO003,,,
11:05,,PCO003,,,
13:30,,,PCO114,PCO202,
14:25,,,PCO114,PCO202,
15:45,,,PCO114,PCO202,
16:40,,,PCO114,PCO202,
8:50,,,,,
10:10,CCO016,,,,
11:05,CCO016,,,,
13:30,,CCO016,,,
14:25,,CCO016,,,
15:45,,,CCO016,CCO016,
16:40,,,CCO016,CCO016,
17:35,,,,,
19:00,CCO016,,ECOX21,,
19:50,CCO016,,ECOX21,,
21:00,,CCO016,ECOX21,,
21:50,,CCO016,,,
22:40,,,,,
